PCT_INHB_DD2,pXC50_3D7
99.0,6.40058
92.0,6.12535
37.0,5.93467
14.0,5.97824
20.0,5.99413
58.0,7.96282
13.0,6.19265
48.0,6.26167
82.0,6.13105
38.0,6.068
28.0,6.04387
3.0,6.05977
77.0,6.12822
9.0,6.11829
96.0,7.44696
70.0,6.04531
65.0,5.9958
75.0,6.11392
67.0,6.86517
58.0,6.09768
62.0,6.1219
73.0,6.10654
33.0,6.19392
36.0,6.16507
0.0,6.0086
98.0,6.17535
93.0,6.19771
89.0,7.01684
0.0,7.51288
96.0,6.47999
99.0,6.99393
47.0,6.03398
57.0,6.13784
0.0,5.99903
84.0,6.04654
99.0,6.53911
72.0,6.10574
94.0,6.07992
33.0,5.94448
93.0,6.68745
16.0,6.06337
90.0,6.42074
0.0,5.98134
27.0,6.02517
97.0,6.5166
65.0,6.88094
0.0,6.60634
84.0,5.98652
96.0,6.07523
75.0,6.83001
32.0,6.07857
39.0,6.16073
0.0,6.91156
2.0,5.96917
38.0,6.01852
36.0,5.95603
10.0,6.05762
16.0,6.2699
56.0,6.01024
23.0,6.00218
83.0,6.72379
17.0,6.01047
100.0,6.15643
58.0,6.36349
41.0,6.03197
92.0,6.01935
44.0,6.19134
10.0,5.94514
52.0,6.30092
0.0,5.94494
23.0,6.06696
14.0,5.90327
95.0,6.06388
99.0,6.4484
90.0,6.2305
21.0,6.08957
33.0,6.09091
100.0,6.15204
42.0,6.10596
100.0,6.40663
95.0,6.13088
70.0,6.09707
79.0,6.05754
61.0,6.10036
99.0,6.85276
96.0,6.70078
4.0,6.02219
34.0,6.21102
0.0,5.69917
98.0,6.834
77.0,6.10389
31.0,6.08432
97.0,6.6331
31.0,6.07795
0.0,6.02655
21.0,6.08564
95.0,7.30749
93.0,6.58865
97.0,6.00393
13.0,5.91328
83.0,6.11625
49.0,6.01514
43.0,6.01923
87.0,6.06794
66.0,6.11846
0.0,5.77138
73.0,6.19132
79.0,6.11266
7.0,5.93621
0.0,6.1015
48.0,6.00946
46.0,6.09689
50.0,6.07873
91.0,6.43032
47.0,6.05305
85.0,6.24582
82.0,6.06923
90.0,6.08494
100.0,6.13594
88.0,6.06165
6.0,5.93339
50.0,6.43381
56.0,6.05405
94.0,6.02821
94.0,6.05649
0.0,6.19575
14.0,6.15281
93.0,6.39566
18.0,5.6993
83.0,6.08008
7.0,6.00281
99.0,6.57395
9.0,5.86038
49.0,6.86464
57.0,6.24499
34.0,6.09325
83.0,6.00469
98.0,7.32834
12.0,6.10831
7.0,6.17547
68.0,6.0342
54.0,6.41916
90.0,6.4394
6.0,6.09518
0.0,6.03353
87.0,6.17861
91.0,6.29768
68.0,6.09268
96.0,6.41831
77.0,6.06292
67.0,6.08908
94.0,6.42938
99.0,7.29503
91.0,6.02998
39.0,6.08941
6.0,6.07537
1.0,5.98634
17.0,6.15291
99.0,6.2709
99.0,6.78453
0.0,6.62819
0.0,6.07406
99.0,6.76971
16.0,5.84201
20.0,6.0086
75.0,6.6771
15.0,6.08299
6.0,6.09812
75.0,6.1143
99.0,6.07284
5.0,6.03128
0.0,5.91194
27.0,5.96383
98.0,6.22099
99.0,6.31589
99.0,6.48552
97.0,5.99606
55.0,6.06116
15.0,5.915
3.0,6.08086
17.0,6.01512
8.0,6.0377
93.0,6.10256
23.0,6.07498
100.0,6.92327
17.0,6.10344
1.0,6.02813
99.0,7.11058
31.0,5.9926
94.0,6.21464
7.0,5.97789
81.0,6.06574
67.0,6.00511
61.0,6.60533
2.0,5.88083
92.0,6.09927
99.0,6.12607
98.0,6.80844
91.0,6.00034
96.0,6.27781
100.0,6.81218
80.0,6.15758
70.0,6.18242
74.0,6.11226
96.0,6.4019
52.0,5.99005
26.0,6.41662
15.0,6.03344
99.0,6.10527
32.0,6.04978
2.0,6.00481
86.0,6.06598
35.0,6.01882
33.0,6.00368
71.0,6.09812
2.0,7.02152
29.0,5.93552
47.0,6.00786
82.0,5.87796
0.0,6.03182
7.0,5.95922
97.0,6.96913
66.0,6.03557
95.0,6.55024
0.0,6.12789
0.0,6.6762
100.0,6.14488
96.0,6.75035
66.0,6.3351
20.0,6.13225
4.0,6.11825
76.0,6.127
21.0,6.12229
47.0,6.04819
97.0,6.07564
28.0,6.0443
82.0,6.20219
96.0,7.02951
85.0,6.01175
44.0,6.06952
97.0,6.64907
49.0,6.51646
18.0,6.09713
1.0,6.0244
15.0,6.09766
1.0,6.46681
47.0,6.10927
95.0,6.29132
62.0,6.17768
1.0,6.11908
38.0,6.11875
34.0,6.20328
0.0,6.10158
99.0,6.82051
16.0,5.95213
88.0,8.49485
59.0,6.09921
83.0,6.10506
9.0,6.11981
99.0,6.07956
55.0,6.17177
70.0,6.15155
71.0,6.12626
72.0,6.07306
20.0,5.91083
2.0,5.76237
67.0,6.4215
68.0,6.10115
0.0,5.94367
93.0,6.47585
98.0,6.74784
88.0,6.0401
100.0,6.60182
24.0,6.01552
99.0,6.87669
60.0,6.45209
23.0,6.0255
0.0,6.0679
65.0,6.18101
3.0,5.93027
70.0,5.98259
23.0,5.97113
46.0,6.04009
71.0,6.1396
35.0,6.14246
78.0,6.19015
98.0,6.08388
36.0,6.39583
97.0,6.08892
99.0,6.23388
66.0,7.41172
95.0,6.51779
32.0,6.05009
98.0,6.62024
2.0,6.03114
4.0,6.55556
88.0,6.45723
19.0,6.22785
98.0,6.40703
99.0,6.60087
99.0,6.22159
37.0,6.03346
0.0,6.27559
53.0,6.14381
15.0,5.87235
89.0,6.64829
86.0,6.0606
95.0,6.96107
96.0,6.22945
24.0,6.22518
77.0,6.03822
17.0,6.02642
99.0,6.10679
100.0,6.76687
91.0,5.97597
98.0,6.16157
63.0,5.74594
78.0,6.20253
74.0,6.73438
85.0,6.34624
93.0,6.14353
46.0,6.02811
68.0,6.04689
95.0,6.07042
99.0,6.24051
74.0,5.91397
9.0,5.96639
89.0,6.05175
53.0,6.23015
67.0,5.99195
58.0,6.3237
87.0,6.83241
12.0,6.04831
5.0,5.83437
52.0,5.99236
87.0,6.0922
61.0,5.96779
1.0,6.15628
29.0,6.0038
75.0,6.77556
62.0,5.88567
90.0,6.13997
4.0,6.12469
0.0,6.30366
9.0,5.95566
22.0,6.1407
6.0,6.12572
2.0,5.93523
87.0,6.11383
20.0,6.05359
4.0,6.10174
0.0,6.13865
99.0,6.22292
48.0,6.01574
0.0,5.97144
91.0,6.60592
86.0,6.12863
46.0,6.11327
100.0,6.61008
72.0,6.12706
72.0,6.07454
96.0,6.17621
17.0,6.06385
44.0,6.15925
98.0,6.07471
100.0,6.70794
94.0,6.26007
0.0,6.04442
100.0,6.0816
98.0,6.18574
23.0,6.43521
9.0,5.97274
7.0,5.93633
100.0,6.82581
78.0,6.67092
26.0,5.82419
0.0,6.12184
97.0,6.53635
0.0,6.18358
49.0,6.07278
100.0,6.30396
42.0,5.86547
98.0,7.1749
99.0,6.04001
85.0,6.54519
6.0,6.02263
88.0,6.14421
96.0,6.28906
77.0,6.29072
100.0,6.59594
94.0,6.08698
0.0,5.85862
5.0,6.70719
99.0,6.07887
96.0,7.0446
80.0,6.14071
45.0,6.10978
0.0,6.22845
32.0,6.08531
30.0,5.97004
44.0,6.05149
99.0,6.69213
53.0,6.26118
45.0,6.06661
26.0,6.32787
87.0,6.32342
0.0,6.10487
11.0,5.92828
51.0,5.95901
99.0,6.94823
80.0,6.02118
95.0,6.10387
10.0,6.05284
62.0,6.55016
29.0,6.66983
72.0,5.88373
84.0,6.48814
0.0,5.97465
0.0,6.00714
75.0,6.02089
22.0,5.94881
65.0,6.09708
38.0,6.62393
96.0,6.061
65.0,6.108
81.0,6.3071
50.0,6.00305
39.0,6.12087
97.0,7.68105
98.0,6.02457
84.0,6.39344
68.0,6.04038
2.0,6.02085
44.0,5.93463
93.0,6.05606
87.0,6.08563
80.0,6.30287
55.0,6.0595
69.0,6.05901
23.0,6.12725
63.0,6.14434
74.0,6.16122
0.0,6.79063
99.0,6.65862
1.0,5.97786
39.0,6.02118
3.0,6.00213
15.0,6.02941
100.0,6.28303
86.0,6.50347
89.0,6.38119
21.0,5.89215
68.0,6.03385
22.0,6.23383
70.0,6.29007
37.0,6.16978
90.0,6.10936
100.0,6.77559
88.0,5.93591
97.0,6.26768
91.0,6.04122
26.0,5.93651
92.0,6.12854
77.0,6.08508
35.0,6.04795
95.0,7.18073
21.0,5.8208
89.0,6.2308
86.0,6.04439
50.0,6.12149
55.0,6.40974
36.0,6.09938
93.0,6.16027
2.0,6.09445
65.0,6.15069
99.0,6.0575
99.0,5.9835
67.0,6.00821
91.0,6.48677
2.0,6.81146
0.0,5.87286
10.0,6.09242
100.0,5.97487
14.0,6.22654
65.0,6.32652
10.0,6.0497
31.0,6.13373
0.0,6.00765
95.0,6.58831
33.0,6.08727
0.0,7.62429
76.0,6.17572
81.0,6.29718
17.0,6.07121
32.0,6.05536
100.0,6.80266
0.0,6.09328
33.0,6.01671
79.0,6.21255
51.0,6.51228
13.0,6.05316
26.0,6.13743
95.0,6.17183
96.0,7.49385
75.0,6.2204
99.0,6.79229
99.0,7.52679
66.0,6.12611
61.0,5.98758
100.0,7.33323
88.0,6.06299
95.0,7.25863
38.0,5.94376
16.0,6.0273
83.0,6.13299
98.0,6.26179
0.0,5.89497
94.0,6.09827
30.0,6.0836
68.0,6.11995
7.0,6.13916
48.0,5.90248
4.0,7.16491
49.0,6.09704
7.0,6.675
83.0,6.24749
74.0,6.03084
98.0,6.08223
1.0,5.91795
99.0,6.49327
9.0,5.88402
18.0,5.95182
46.0,6.2132
5.0,6.10853
94.0,6.67096
100.0,6.99897
50.0,6.15512
52.0,6.0423
3.0,6.62239
99.0,6.15212
98.0,6.53203
1.0,6.02855
17.0,6.10618
21.0,6.05444
97.0,6.05781
68.0,6.16761
72.0,5.92738
1.0,6.00452
97.0,6.49373
26.0,6.03846
5.0,6.10491
93.0,6.02308
77.0,6.86712
9.0,6.02608
69.0,6.75437
74.0,5.80808
49.0,6.1433
60.0,5.93342
97.0,6.76404
6.0,5.93286
28.0,6.12981
0.0,5.93573
28.0,5.99908
0.0,6.32359
30.0,6.04998
72.0,6.10114
27.0,6.10495
31.0,6.10093
100.0,6.37865
95.0,7.30066
80.0,6.57272
70.0,6.08414
7.0,5.76193
39.0,6.08244
0.0,6.77868
73.0,6.11795
96.0,6.78751
15.0,5.9603
78.0,6.01797
100.0,6.22881
49.0,6.05865
86.0,6.19801
11.0,5.99439
98.0,6.6393
99.0,6.24432
76.0,6.4798
15.0,6.07691
4.0,5.86768
1.0,5.8737
33.0,5.9448
94.0,6.19002
5.0,6.13364
38.0,6.12543
85.0,6.07044
99.0,6.82967
83.0,6.79236
67.0,6.66192
1.0,6.20607
1.0,5.96271
35.0,6.0191
46.0,6.10481
43.0,6.12524
86.0,6.03161
86.0,6.03289
90.0,6.02672
41.0,6.06689
0.0,6.03165
97.0,6.58294
61.0,6.11439
17.0,6.15799
99.0,6.80654
35.0,6.14663
66.0,5.98161
6.0,6.12091
60.0,6.14586
97.0,6.67417
33.0,6.04672
100.0,6.47402
62.0,6.4545
64.0,5.8737
32.0,5.97293
23.0,5.93236
98.0,6.83942
100.0,6.80314
85.0,8.49485
15.0,6.08652
0.0,6.07624
79.0,6.31149
26.0,6.0197
27.0,6.08098
98.0,7.29678
12.0,6.07706
23.0,5.89578
86.0,6.06479
94.0,6.17917
93.0,6.22558
95.0,6.05052
76.0,6.00034
2.0,6.13874
35.0,6.06242
29.0,6.2546
99.0,6.67454
99.0,6.75167
100.0,6.18451
60.0,6.07182
12.0,5.93557
97.0,6.08037
82.0,6.17812
89.0,6.2137
2.0,6.6931
65.0,5.96264
91.0,6.15701
84.0,5.90657
89.0,6.5777
95.0,8.49485
0.0,6.04701
93.0,6.13582
0.0,6.09265
23.0,6.00915
89.0,5.99236
51.0,5.96792
100.0,6.61506
99.0,7.06005
27.0,6.1188
85.0,6.27283
82.0,6.09025
25.0,6.03409
82.0,6.06653
100.0,6.36682
3.0,6.54287
59.0,6.05948
72.0,6.57001
100.0,6.9876
68.0,6.41031
38.0,6.09924
97.0,6.00568
8.0,6.07032
99.0,6.39621
100.0,6.74996
0.0,6.06585
100.0,6.74492
25.0,5.88024
29.0,6.13501
37.0,6.14218
100.0,7.47324
58.0,6.27637
48.0,6.27953
100.0,6.11036
98.0,6.34282
98.0,6.17259
2.0,6.12617
70.0,6.62586
52.0,6.13473
59.0,6.10333
98.0,7.58506
98.0,6.18412
19.0,6.08008
42.0,5.93632
99.0,6.71478
8.0,6.18416
9.0,5.94393
0.0,5.98114
75.0,6.10899
85.0,6.01926
7.0,6.65905
100.0,6.80367
67.0,6.07467
92.0,8.49485
0.0,6.07814
29.0,5.98711
98.0,6.01935
98.0,6.03399
29.0,6.05618
45.0,6.11209
64.0,6.10883
88.0,6.50676
50.0,5.97305
99.0,6.18022
7.0,6.04255
20.0,5.91093
10.0,5.91927
95.0,6.93296
75.0,6.05626
100.0,7.34844
0.0,7.83565
76.0,5.88759
63.0,6.03613
98.0,6.81383
0.0,6.01105
98.0,6.65965
84.0,5.93319
98.0,6.95343
83.0,5.92907
96.0,6.10912
74.0,6.14753
90.0,6.07382
99.0,6.91617
14.0,6.11828
98.0,6.30485
11.0,5.99484
52.0,6.13786
94.0,8.49485
43.0,6.26766
67.0,6.05308
75.0,6.16764
0.0,6.95248
65.0,6.08319
43.0,6.13881
98.0,6.03184
8.0,5.87705
97.0,6.72795
97.0,7.2392
96.0,6.11291
45.0,6.23588
100.0,6.1101
65.0,6.01092
19.0,6.0121
6.0,6.06475
29.0,6.00248
0.0,6.24094
77.0,6.42329
72.0,5.994
94.0,6.63098
20.0,6.04679
33.0,6.1339
12.0,6.15944
50.0,6.59419
95.0,6.68461
26.0,6.13489
2.0,6.63688
99.0,6.74386
39.0,5.98183
70.0,6.15814
0.0,5.99471
38.0,6.04012
46.0,5.95902
94.0,6.05495
68.0,6.31625
100.0,6.84106
65.0,6.37021
73.0,6.61651
62.0,6.1369
82.0,6.11498
18.0,5.84321
16.0,6.11345
13.0,5.96002
0.0,6.06898
80.0,6.91891
50.0,6.3907
100.0,6.29657
92.0,6.1081
0.0,6.14391
8.0,6.02697
98.0,6.11258
95.0,6.54107
99.0,6.3799
97.0,8.21773
9.0,6.05017
10.0,6.02345
21.0,5.949
99.0,6.13694
20.0,6.27204
48.0,5.9992
26.0,6.00559
0.0,6.03576
32.0,6.37303
100.0,6.0832
77.0,6.09344
93.0,6.13558
1.0,5.97534
62.0,6.00062
0.0,6.19672
84.0,6.93143
81.0,6.76651
100.0,6.06087
64.0,5.85177
0.0,6.27269
82.0,6.41507
0.0,5.92605
3.0,6.02607
73.0,6.6747
83.0,6.47901
5.0,5.91391
43.0,5.9871
86.0,6.39793
54.0,6.17823
36.0,6.06208
56.0,6.40518
100.0,6.70394
46.0,5.97133
20.0,6.00764
94.0,6.06891
97.0,6.09709
8.0,6.61341
18.0,5.91652
80.0,6.5568
85.0,6.77192
61.0,6.09513
52.0,5.96948
53.0,5.90678
2.0,6.07794
29.0,5.8687
83.0,6.30135
94.0,6.24339
82.0,6.1512
100.0,6.8161
73.0,6.13004
82.0,5.98686
69.0,6.10667
0.0,5.93704
13.0,5.91833
9.0,5.94694
79.0,6.01874
81.0,6.91208
93.0,6.01864
94.0,7.40746
47.0,6.11988
100.0,6.17455
31.0,6.04072
1.0,5.98994
5.0,7.31068
74.0,6.19627
98.0,6.32527
70.0,5.97871
88.0,6.03518
83.0,6.11781
52.0,6.11651
99.0,7.22281
0.0,5.88327
28.0,5.92041
54.0,6.06227
1.0,6.0394
20.0,6.07182
61.0,6.17463
8.0,6.07189
59.0,6.29328
92.0,6.46088
56.0,6.07485
95.0,6.09057
13.0,5.91721
94.0,6.13215
4.0,6.07247
99.0,6.83199
97.0,6.7077
37.0,5.97353
13.0,6.02478
94.0,6.62769
95.0,7.03642
87.0,6.13769
50.0,6.20811
96.0,5.95687
87.0,6.28287
80.0,6.11651
86.0,6.14256
97.0,6.0712
1.0,6.05974
1.0,5.94841
86.0,6.38028
90.0,6.09303
72.0,6.02958
98.0,6.59555
42.0,6.05581
57.0,6.27579
100.0,5.98345
34.0,6.07934
58.0,6.17822
99.0,6.28664
26.0,6.06045
100.0,6.56577
73.0,6.05996
100.0,6.89768
6.0,6.12551
0.0,6.02924
0.0,6.07371
88.0,6.87027
12.0,6.03627
14.0,6.02794
21.0,6.00381
100.0,6.81831
16.0,5.84096
28.0,5.8804
90.0,5.96109
97.0,6.50314
39.0,5.9901
54.0,6.65156
43.0,6.04984
76.0,5.89654
3.0,6.71398
93.0,5.98985
45.0,6.29595
42.0,6.12469
99.0,6.22058
39.0,6.1806
90.0,6.15619
83.0,6.19271
6.0,6.17281
0.0,6.03387
99.0,6.9059
62.0,6.24377
88.0,6.07241
100.0,6.57296
80.0,6.60179
95.0,6.67746
29.0,6.13491
2.0,6.03674
84.0,6.13108
1.0,6.08032
93.0,6.18838
79.0,6.17385
69.0,6.0625
23.0,6.07332
90.0,6.3924
90.0,6.16407
3.0,6.05318
96.0,6.15769
14.0,6.47118
31.0,6.10219
63.0,5.93729
94.0,6.15137
88.0,6.12986
50.0,6.21188
0.0,6.45525
0.0,5.87593
90.0,6.52471
22.0,6.19034
75.0,5.93842
44.0,6.239
33.0,7.99024
32.0,5.89779
72.0,6.21334
44.0,6.17069
83.0,6.06397
84.0,6.24761
30.0,6.05819
96.0,6.72363
39.0,6.19033
99.0,6.21388
33.0,6.25191
74.0,6.69341
26.0,6.01243
83.0,6.1667
16.0,5.91521
96.0,6.62383
32.0,6.0011
85.0,6.25905
98.0,6.15284
97.0,6.71282
19.0,6.13938
32.0,6.17328
34.0,6.22561
8.0,6.19054
100.0,6.1332
33.0,6.12335
99.0,6.77533
99.0,6.74894
1.0,6.05849
79.0,6.08212
100.0,6.10644
1.0,7.01746
100.0,6.59336
78.0,6.06835
66.0,5.9375
98.0,6.08638
5.0,6.08198
0.0,7.28678
20.0,5.85686
76.0,6.47737
99.0,6.85649
93.0,6.6527
41.0,6.11292
0.0,6.22885
48.0,5.96028
99.0,6.82949
89.0,6.05035
18.0,6.09393
89.0,6.13026
38.0,5.7528
15.0,5.9886
95.0,6.15288
27.0,6.0399
100.0,6.03335
0.0,6.65501
95.0,6.03409
66.0,6.17466
9.0,5.95044
24.0,6.04016
97.0,6.56432
96.0,6.84502
82.0,6.13295
30.0,6.12401
12.0,5.84553
96.0,6.76094
97.0,6.64406
4.0,5.89881
36.0,5.98229
5.0,6.01511
9.0,6.11591
96.0,6.54839
30.0,6.09413
69.0,6.02677
23.0,6.17908
58.0,5.95134
27.0,6.29306
100.0,6.80014
88.0,6.03027
92.0,6.14246
100.0,6.26142
25.0,6.06332
81.0,6.10546
44.0,6.14422
99.0,6.227
2.0,6.04771
0.0,5.98591
100.0,6.84052
31.0,6.08302
44.0,6.25405
3.0,5.80666
94.0,8.49485
98.0,6.73727
94.0,7.20898
89.0,6.11245
92.0,7.76706
99.0,7.46562
12.0,5.93155
89.0,6.12538
90.0,6.31571
0.0,5.86719
10.0,5.84436
93.0,6.14486
97.0,8.11408
30.0,6.04401
98.0,6.68714
5.0,5.95516
97.0,7.11236
85.0,5.9473
61.0,6.15455
83.0,6.05249
100.0,6.39861
0.0,6.07079
0.0,6.02536
95.0,8.49485
56.0,5.98068
90.0,6.0627
44.0,5.99642
41.0,6.02151
97.0,6.62683
70.0,6.01358
94.0,6.08895
74.0,6.38212
50.0,6.11673
44.0,6.03557
1.0,6.04109
96.0,6.31143
8.0,6.01743
52.0,6.13358
97.0,8.0262
100.0,6.0928
49.0,6.06845
54.0,6.07329
42.0,6.6455
97.0,6.81846
56.0,8.49485
0.0,6.06996
65.0,6.12471
7.0,5.95349
99.0,5.95507
0.0,6.03994
50.0,6.11859
27.0,5.93633
61.0,6.02111
81.0,6.35353
84.0,6.43885
8.0,6.08461
11.0,6.05792
84.0,6.0026
75.0,6.82424
58.0,5.97847
5.0,7.54037
0.0,6.97264
77.0,6.05502
64.0,6.28422
94.0,6.13666
100.0,6.09646
11.0,7.13837
11.0,5.95741
56.0,6.31555
15.0,6.06419
3.0,6.10708
93.0,6.67056
19.0,6.40388
20.0,5.95465
42.0,5.96515
98.0,6.33191
99.0,7.53977
4.0,5.9478
72.0,6.30273
3.0,5.91977
98.0,6.86176
100.0,6.84224
31.0,6.46958
19.0,6.08349
93.0,6.16367
81.0,6.43226
0.0,6.01172
99.0,6.14794
99.0,6.76688
18.0,5.89828
17.0,6.10423
81.0,6.35391
57.0,6.20931
84.0,6.06543
99.0,6.03058
95.0,6.27167
0.0,6.52593
95.0,6.19019
99.0,6.25958
97.0,6.48099
28.0,6.04099
0.0,6.43366
48.0,6.14167
49.0,5.94716
91.0,6.44619
96.0,6.53929
97.0,8.49485
97.0,6.72943
97.0,6.07238
42.0,6.10807
87.0,6.05563
36.0,5.95263
28.0,5.94299
13.0,5.86442
83.0,5.93649
78.0,6.17512
98.0,6.7143
80.0,6.4019
99.0,6.83166
45.0,6.09672
96.0,6.90234
100.0,6.27224
13.0,6.07035
99.0,7.20511
98.0,6.30408
72.0,5.88748
95.0,6.83092
22.0,6.11088
97.0,6.17101
98.0,5.99709
31.0,5.98374
98.0,6.7232
0.0,6.11392
76.0,6.81543
91.0,6.25747
94.0,6.19319
9.0,5.98831
97.0,6.11158
80.0,6.40295
16.0,6.07161
10.0,5.92095
75.0,6.05601
54.0,6.10187
92.0,6.06819
4.0,6.0744
89.0,6.16652
86.0,5.98876
35.0,5.95107
97.0,6.13944
49.0,6.08219
40.0,5.85829
82.0,6.22119
76.0,6.12964
85.0,6.62408
92.0,5.95411
100.0,6.14999
67.0,6.06697
3.0,6.05637
88.0,6.42054
95.0,6.29353
73.0,6.46932
98.0,6.32256
98.0,6.24231
86.0,6.2642
93.0,6.074
0.0,5.78493
45.0,6.6383
99.0,7.03379
71.0,5.85441
77.0,6.20521
80.0,6.00732
1.0,6.62379
23.0,6.14622
89.0,6.08758
18.0,6.23995
100.0,6.66631
1.0,5.97615
88.0,6.14822
85.0,6.13646
0.0,5.97376
26.0,6.10483
72.0,6.07073
22.0,5.95389
97.0,6.88427
79.0,6.03036
51.0,6.56849
43.0,6.05208
97.0,7.78537
51.0,5.77779
23.0,6.03643
76.0,6.00931
34.0,5.86239
20.0,6.28243
70.0,6.13171
40.0,6.23108
99.0,6.12912
95.0,6.11644
44.0,5.97921
98.0,6.3327
82.0,5.98344
4.0,6.21616
21.0,6.06432
13.0,6.1514
81.0,5.89129
88.0,6.20908
96.0,6.10389
26.0,6.75638
52.0,6.10865
58.0,5.98256
2.0,6.12015
79.0,6.17025
87.0,6.14744
81.0,6.59851
56.0,6.17036
36.0,5.99379
86.0,6.3866
29.0,6.04207
2.0,6.03442
65.0,5.92232
27.0,6.43224
97.0,6.84641
89.0,6.19685
0.0,6.00487
13.0,5.9661
41.0,6.1618
54.0,5.9531
53.0,6.13132
50.0,6.21557
8.0,6.03786
79.0,6.39968
80.0,6.63704
100.0,6.99909
0.0,6.54682
98.0,6.20827
30.0,6.17347
99.0,6.19542
100.0,6.9235
2.0,6.13054
97.0,6.1101
42.0,6.01528
99.0,6.80065
58.0,6.05529
0.0,6.08243
9.0,6.07651
73.0,6.29049
50.0,6.21444
98.0,6.1459
81.0,5.87308
40.0,6.08642
58.0,6.16794
49.0,6.05287
2.0,6.00421
17.0,7.4506
88.0,6.23289
0.0,5.94547
0.0,5.97174
35.0,5.98403
52.0,5.83795
41.0,6.56863
70.0,6.40143
28.0,6.1204
18.0,5.98246
100.0,6.59399
2.0,6.50361
100.0,6.93272
40.0,6.20222
82.0,6.02957
5.0,6.00564
8.0,6.09345
35.0,5.96838
99.0,6.77037
67.0,6.5391
95.0,6.4305
96.0,6.53856
99.0,6.78297
38.0,6.02634
97.0,6.10947
99.0,6.23325
82.0,6.89771
99.0,6.29293
97.0,6.13159
13.0,5.80861
31.0,5.92014
1.0,6.13361
97.0,7.10754
40.0,6.13099
96.0,6.10462
79.0,6.12009
0.0,6.29911
100.0,7.60254
99.0,6.6363
5.0,6.08907
100.0,6.18713
12.0,6.07623
100.0,6.99355
99.0,7.22339
99.0,6.26732
76.0,5.94083
77.0,6.92119
30.0,6.09465
41.0,6.14109
30.0,6.00568
91.0,6.50687
82.0,6.04681
4.0,7.93
100.0,7.06099
1.0,6.05825
78.0,6.42834
38.0,6.02556
98.0,6.05977
70.0,6.09851
14.0,6.04562
70.0,5.876
74.0,6.13697
95.0,6.69997
9.0,5.84841
61.0,6.16233
24.0,5.93981
95.0,6.34107
31.0,5.97016
67.0,6.46853
99.0,6.23329
0.0,6.0254
99.0,5.93131
4.0,6.09448
57.0,6.7191
35.0,6.19854
99.0,6.07006
17.0,6.00503
26.0,6.11948
89.0,6.40145
83.0,6.1799
74.0,6.74869
99.0,6.65021
20.0,6.11568
99.0,5.94951
24.0,6.0651
18.0,6.18442
92.0,6.21325
72.0,7.48312
100.0,6.69174
0.0,6.14129
