A,B,C,mu,alpha,homo,lumo,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom,gap
28.0016,4.67752,4.21765,3.9233,35.38,-0.3213,0.034,314.5335,0.07419,-172.006141,-172.001467,-172.000523,-172.032826,14.988,-866.338297891,-871.404178048,-876.146263561,-812.839390587,0.3553
32.19893,4.76299,4.30696,4.4361,31.81,-0.2683,0.0173,295.6635,0.063305,-188.042067,-188.037478,-188.036534,-188.06863,14.488,-740.278014881,-744.50805305,-748.657142558,-693.079925446,0.2855
35.11615,4.66117,4.22354,1.7211,33.1,-0.2595,0.0277,300.0993,0.060632,-191.810916,-191.806025,-191.805081,-191.837634,15.855,-756.103791861,-760.144949821,-764.294039329,-709.363156487,0.2872
35.93172,4.83443,4.37827,4.6788,28.56,-0.3018,0.0022,280.6659,0.050262,-207.916786,-207.912215,-207.911271,-207.943384,13.845,-673.933998347,-677.286778934,-680.842872437,-633.49543586,0.3039
26.14564,4.2893,4.12773,2.6741,35.83,-0.25,-0.0205,333.3276,0.084175,-193.075202,-193.070116,-193.069171,-193.102798,15.954,-921.603015521,-927.298914714,-932.633368723,-862.042371277,0.2295
19.98749,6.11589,4.82584,3.7071,32.78,-0.2516,0.0335,279.7863,0.074166,-209.144909,-209.139976,-209.139032,-209.172305,15.058,-816.74061404,-821.643341857,-826.38542737,-763.431841963,0.2851
48.62351,4.67298,4.38187,3.92,29.47,-0.2814,0.0074,293.917,0.061327,-229.013797,-229.009003,-229.008059,-229.041086,13.885,-746.737592527,-750.838991351,-754.988080859,-700.09924112,0.2888
36.49282,4.31175,4.04493,1.7341,28.53,-0.2537,-0.0341,303.8129,0.060508,-228.992613,-228.987769,-228.986825,-229.019918,14.78,-733.444441871,-737.514465245,-741.663554753,-686.816130608,0.2196
23.44662,3.60588,3.38683,0.0,45.71,-0.317,0.0937,426.2996,0.131708,-158.340943,-158.33517,-158.334226,-158.36894,19.668,-1224.348497625,-1233.16813662,-1240.875202158,-1138.553584618,0.4107
26.59789,3.79186,3.53779,1.3402,38.61,-0.2619,0.081,382.8628,0.108241,-194.261089,-194.255495,-194.254551,-194.28893,18.431,-1037.90616109,-1045.060391199,-1051.581464727,-965.128294779,0.3429
28.29567,4.14901,3.88349,1.0363,39.34,-0.2503,0.0925,368.9331,0.107895,-194.254127,-194.248585,-194.247641,-194.281899,17.888,-1033.537443432,-1040.724304009,-1047.245377537,-960.716279,0.3428
14.79671,5.6956,4.58846,0.0075,31.42,-0.2594,0.0584,297.8398,0.085172,-230.183076,-230.177723,-230.176779,-230.211195,16.837,-852.619068624,-858.146795405,-863.481876923,-793.130587915,0.3179
15.61472,6.31363,5.54514,0.1136,41.96,-0.2727,0.1012,298.6061,0.109284,-157.116735,-157.11209,-157.111146,-157.143262,16.49,-1083.998579667,-1091.748943326,-1098.270016854,-1010.652190202,0.3738
18.21931,6.63877,5.92459,1.812,35.01,-0.2633,0.1052,267.2979,0.085275,-193.039603,-193.035186,-193.034242,-193.065979,14.764,-899.26432263,-905.380025344,-910.715106862,-838.938117406,0.3685
16.58914,7.18798,6.11415,1.1353,39.02,-0.2304,0.0968,270.5508,0.097671,-173.147782,-173.143343,-173.142399,-173.174073,15.298,-954.876680246,-961.867130506,-967.795208029,-887.759572624,0.3271
16.79477,6.71015,5.86781,1.3894,34.64,-0.239,0.0775,263.966,0.085106,-193.034988,-193.030356,-193.029411,-193.061689,15.679,-896.368368595,-902.349156874,-907.683610883,-836.246103796,0.3166
10.66107,10.66107,6.30452,0.0,41.83,-0.2982,0.0956,268.4432,0.110511,-157.115484,-157.111322,-157.110378,-157.141657,14.696,-1083.213565908,-1091.267016414,-1097.788089942,-1009.645038257,0.3938
12.06545,11.77731,6.71997,1.7978,34.56,-0.2424,0.0859,236.9759,0.086675,-193.034094,-193.029968,-193.029024,-193.060777,12.915,-895.807375549,-902.105683382,-907.4407649,-835.673815588,0.3283
8.63483,4.11977,2.88825,0.6875,45.37,-0.2392,0.0192,452.5112,0.100501,-248.375248,-248.368823,-248.367879,-248.405354,21.616,-1057.089738729,-1063.722508859,-1070.242954878,-982.983435865,0.2584
9.17136,9.04195,4.5531,1.8689,43.14,-0.2029,0.0499,303.9808,0.082433,-210.101789,-210.097816,-210.096872,-210.12818,14.821,-1022.510227775,-1028.905171994,-1034.239626003,-959.69971442,0.2528
9.77329,9.41192,4.7946,3.6193,39.13,-0.2253,0.0332,283.6817,0.071145,-226.160842,-226.157088,-226.156144,-226.187104,13.371,-910.962345408,-916.605533845,-921.346991849,-854.448257359,0.2585
9.50228,9.29497,4.69874,0.5571,39.2,-0.2246,0.0199,289.005,0.069883,-229.969129,-229.965414,-229.96447,-229.995393,13.358,-951.53582233,-957.204111127,-961.945569131,-895.383179465,0.2445
10.10926,9.69372,4.94857,1.5081,35.17,-0.2509,0.001,269.2444,0.058593,-246.02915,-246.025614,-246.024669,-246.055309,12.04,-840.595368675,-845.48680133,-849.63463582,-790.754211332,0.2519
4.4178,4.41753,4.41717,0.0003,56.01,-0.3145,0.0737,486.2719,0.158836,-197.632222,-197.625241,-197.624297,-197.661411,26.084,-1502.938020774,-1513.665914638,-1523.151340682,-1395.393018318,0.3882
4.69474,4.66938,4.47909,1.384,49.04,-0.2601,0.0664,449.0573,0.134977,-233.560626,-233.553779,-233.552834,-233.589759,25.128,-1321.677653561,-1330.711900634,-1339.010707159,-1227.212448701,0.3265
10.21876,4.04324,2.94978,2.8579,42.02,-0.2654,-0.0575,416.7799,0.065175,-229.927277,-229.921622,-229.920677,-229.955843,18.723,-925.273315662,-929.724236999,-934.465067494,-870.565198515,0.2079
10.16063,4.15847,3.0056,3.3351,37.08,-0.3007,-0.0889,397.7757,0.05451,-246.027383,-246.022024,-246.02108,-246.055769,16.963,-839.486560272,-843.23404402,-847.382506019,-791.042865472,0.2118
10.68423,4.3198,3.07993,5.1815,38.31,-0.2739,-0.0438,384.5574,0.056619,-242.19573,-242.190591,-242.189646,-242.223513,17.465,-784.250708056,-788.135616275,-792.283450765,-735.068435163,0.2301
11.40916,4.14704,3.0415,3.7167,38.29,-0.2629,-0.0277,390.4619,0.054731,-245.997884,-245.992256,-245.991312,-246.026404,18.527,-820.975672281,-824.554356108,-828.702818107,-772.616063687,0.2352
9.08854,4.42607,3.03169,0.9461,36.51,-0.2538,-0.0964,399.222,0.064992,-267.10335,-267.097658,-267.096714,-267.132534,17.806,-899.084855056,-903.511931051,-908.253389055,-844.508514799,0.1574
10.08927,4.54115,3.13487,2.7707,38.09,-0.2561,-0.064,384.4827,0.067668,-263.278851,-263.273589,-263.272645,-263.306835,17.972,-848.338202226,-853.034479582,-857.775937586,-792.648661003,0.192
10.84211,4.27948,3.06837,5.1668,33.39,-0.2533,-0.0763,381.9882,0.054577,-283.16874,-283.163262,-283.162318,-283.197298,17.525,-791.513497222,-795.18567989,-799.334141889,-742.921710298,0.177
7.92874,3.8272,2.82581,0.6578,51.2,-0.2589,0.0571,481.9854,0.112471,-195.186772,-195.180446,-195.179502,-195.215658,22.569,-1224.099376552,-1231.684077835,-1238.797519859,-1143.106162413,0.316
7.90009,3.95466,2.88643,3.9512,46.23,-0.318,0.0365,460.694,0.102281,-211.295796,-211.289821,-211.288877,-211.324525,20.467,-1143.908746424,-1150.824523113,-1157.344969132,-1069.194387339,0.3545
8.30095,3.97615,2.93764,2.7429,42.87,-0.2704,0.0278,440.0738,0.091554,-227.338075,-227.332253,-227.331309,-227.366638,19.946,-1021.835028091,-1027.957633404,-1033.885083418,-953.393876479,0.2983
8.55919,3.89952,2.91869,1.3582,44.03,-0.2665,0.0336,444.6452,0.088908,-231.108368,-231.102292,-231.101348,-231.137061,21.306,-1038.566928067,-1044.530773603,-1050.458223617,-970.567542791,0.3001
8.55908,4.01671,2.97882,3.269,39.28,-0.3051,0.0115,424.3395,0.078602,-247.214861,-247.209162,-247.208218,-247.243338,19.252,-956.78807266,-962.099308836,-967.433762845,-895.030519407,0.3166
7.66289,3.70925,2.79937,2.6921,46.58,-0.2469,-0.0188,482.0475,0.112328,-232.364952,-232.358577,-232.357633,-232.394589,21.434,-1199.233077409,-1206.786403242,-1213.899845266,-1118.455098857,0.2281
8.31096,4.07963,2.92918,2.8354,39.16,-0.255,-0.0279,432.1489,0.088443,-268.287661,-268.281505,-268.280561,-268.316982,20.344,-1014.399046441,-1020.312063748,-1026.239513762,-946.537713145,0.2271
8.9331,4.19405,2.96046,3.7163,44.42,-0.2424,0.0327,441.85,0.10227,-248.430371,-248.424309,-248.423365,-248.459383,19.918,-1091.679917336,-1098.540473233,-1105.060919252,-1016.887119626,0.2751
10.13982,3.81346,2.86965,2.9514,39.33,-0.2699,-0.0262,440.1727,0.088924,-268.301176,-268.295084,-268.29414,-268.331307,19.824,-1022.879830576,-1028.833008459,-1034.760458473,-955.52677957,0.2437
9.55216,3.57844,2.7341,2.6168,46.19,-0.2423,-0.0072,489.8518,0.112006,-232.377706,-232.371073,-232.370129,-232.408256,21.716,-1207.236327195,-1214.627755706,-1221.74119773,-1127.03126436,0.2351
9.78802,3.78441,2.84416,3.499,42.54,-0.2438,0.0355,457.447,0.101847,-248.448467,-248.441988,-248.441044,-248.478935,21.374,-1103.0353202,-1109.634204844,-1116.154650863,-1029.156175594,0.2793
10.01185,3.84195,2.87635,3.5402,43.61,-0.2418,0.0387,458.9803,0.101735,-248.443503,-248.436899,-248.435955,-248.474272,20.967,-1099.920365524,-1106.440811543,-1112.961257562,-1026.230101127,0.2805
10.44045,4.04692,2.98547,3.5648,39.51,-0.2436,0.0599,428.404,0.091713,-264.504487,-264.498452,-264.497508,-264.533633,20.274,-989.584203036,-995.572521423,-1001.499971437,-921.252865499,0.3034
9.69683,4.1533,3.01703,1.1876,43.57,-0.2595,0.0352,443.1687,0.102062,-248.416462,-248.410358,-248.409414,-248.445651,20.256,-1082.951894655,-1089.786095174,-1096.306541193,-1008.270166038,0.2948
10.20392,4.16834,3.07281,1.7569,39.33,-0.2685,0.0174,427.6606,0.089436,-268.32127,-268.315051,-268.314106,-268.351214,19.501,-1035.488996422,-1041.362480662,-1047.289303167,-968.018601233,0.2859
10.68182,4.39532,3.17969,2.329,35.5,-0.2669,0.0575,398.5908,0.079271,-284.385189,-284.379361,-284.378417,-284.414085,19.084,-926.994572849,-932.224232855,-937.558686864,-865.243922195,0.3244
10.20696,3.93135,2.9219,4.5676,35.87,-0.246,0.0273,418.5967,0.078222,-284.360325,-284.354148,-284.353204,-284.390143,20.089,-911.392189073,-916.402848438,-921.737302447,-850.220101717,0.2733
10.14389,4.0714,3.02223,5.3004,35.19,-0.2527,0.0208,408.0279,0.080317,-284.372483,-284.367172,-284.366228,-284.40095,17.931,-919.021443495,-924.575525654,-929.909979663,-857.00159148,0.2735
7.57282,3.5255,2.65861,1.3149,49.26,-0.2629,0.0789,516.4357,0.136209,-233.551389,-233.544542,-233.543598,-233.581067,23.924,-1315.881352928,-1324.915600001,-1333.215034035,-1221.758140473,0.3418
6.6508,4.19317,3.39441,2.2854,42.01,-0.2597,0.0631,438.3028,0.11345,-269.479234,-269.472993,-269.472049,-269.508213,22.072,-1134.270208184,-1141.906992714,-1149.020434738,-1052.823305038,0.3228
7.26511,3.32874,2.54491,0.0618,56.26,-0.3085,0.085,565.8412,0.159632,-197.629387,-197.622325,-197.621381,-197.659365,25.169,-1501.159032759,-1511.836098394,-1521.321524438,-1394.109134904,0.3934
8.11598,3.43678,2.66869,1.3894,49.45,-0.2617,0.0733,521.8605,0.136091,-233.555951,-233.549143,-233.548199,-233.585602,23.99,-1318.744048986,-1327.80276891,-1336.102202944,-1224.603893788,0.335
7.55335,3.78323,2.80566,1.0758,49.8,-0.2476,0.086,507.9614,0.135681,-233.545899,-233.539034,-233.53809,-233.57582,23.573,-1312.436328518,-1321.459280429,-1329.758714463,-1218.46560075,0.3336
6.14183,5.17679,3.79297,0.1068,52.92,-0.2633,0.0893,439.1643,0.137025,-196.409349,-196.403398,-196.402453,-196.437676,22.258,-1363.425827331,-1373.022949977,-1381.321756502,-1268.710873889,0.3526
6.49534,5.52329,3.9108,1.8235,45.7,-0.2596,0.091,405.521,0.112851,-232.335768,-232.329981,-232.329037,-232.364091,20.719,-1180.919854753,-1188.842155878,-1195.955597902,-1099.317329375,0.3505
6.57648,5.31603,3.98453,1.3822,45.85,-0.2494,0.0776,401.4888,0.113237,-232.33341,-232.327734,-232.32679,-232.36147,21.17,-1179.440188531,-1187.432143155,-1194.545585179,-1097.672628286,0.327
12.18399,5.1384,3.78868,2.5732,40.19,-0.263,0.0277,352.0378,0.080558,-247.201165,-247.196699,-247.195755,-247.22841,15.51,-948.193709396,-954.278664169,-959.613118178,-885.663065055,0.2907
10.79571,4.78732,3.54292,2.7119,42.77,-0.2415,-0.0194,379.6371,0.090544,-231.15578,-231.150804,-231.149859,-231.184401,17.076,-1068.318384775,-1074.972490211,-1080.899312716,-1000.273818851,0.2222
12.23436,4.97895,3.70561,3.6671,39.73,-0.25,0.038,355.0934,0.080442,-247.225618,-247.220897,-247.219953,-247.253218,16.1,-963.538186973,-969.463126951,-974.79758096,-901.230308327,0.288
12.44643,5.23328,3.86599,3.9339,35.4,-0.2788,0.0089,336.0792,0.068574,-267.106213,-267.101929,-267.100985,-267.13332,14.483,-900.881413323,-906.19202199,-910.933479994,-845.001736873,0.2878
11.54185,4.90368,3.63309,2.5257,39.34,-0.2437,-0.0258,359.152,0.07965,-247.190194,-247.185543,-247.184599,-247.217688,16.083,-941.309308157,-947.278173765,-952.612627774,-878.934913557,0.2179
12.18264,4.94228,3.68162,0.8477,35.94,-0.2647,-0.0352,344.5473,0.066989,-267.068488,-267.063976,-267.063032,-267.095887,15.115,-877.208636298,-882.376172913,-887.117630917,-821.512192476,0.2295
9.63416,4.10254,3.28665,0.095,52.94,-0.2896,0.0927,455.0215,0.138424,-196.407957,-196.40245,-196.401505,-196.436159,20.299,-1362.552334803,-1372.428071445,-1380.72687797,-1267.758942736,0.3823
9.93129,4.56362,3.63704,1.6826,45.72,-0.241,0.0915,407.6909,0.11459,-232.33123,-232.325877,-232.324933,-232.359589,18.582,-1178.072218911,-1186.266858942,-1193.380300966,-1096.492283857,0.3325
10.13697,4.32512,3.50912,1.8995,45.45,-0.2419,0.0814,414.1575,0.114694,-232.325947,-232.320548,-232.319604,-232.354576,18.443,-1174.757088864,-1182.922863481,-1190.036305505,-1093.34658124,0.3233
10.09703,4.26865,3.40487,1.4604,45.55,-0.256,0.0801,413.9118,0.115063,-232.333258,-232.328097,-232.327153,-232.361103,19.023,-1179.344807163,-1187.659928922,-1194.773370946,-1097.442332483,0.3361
10.85394,4.52867,3.62328,2.4158,38.58,-0.2465,0.0604,374.4087,0.091005,-268.248371,-268.243234,-268.24229,-268.276572,17.344,-989.744217831,-996.296666809,-1002.224116823,-921.180074455,0.3069
7.14221,4.37083,3.30265,0.1023,52.92,-0.2632,0.094,465.3301,0.137341,-196.406419,-196.40034,-196.399396,-196.435152,22.005,-1361.587225961,-1371.104027455,-1379.403461489,-1267.127041173,0.3573
7.36997,4.78662,3.53123,1.3092,45.84,-0.2518,0.0822,418.298,0.113827,-232.32907,-232.323327,-232.322383,-232.357426,20.702,-1176.716799471,-1184.666710992,-1191.780153016,-1095.13498189,0.334
7.53724,4.74514,3.54049,1.2483,49.79,-0.2199,0.0931,432.5081,0.125556,-212.438188,-212.432286,-212.431342,-212.466725,20.993,-1232.918388038,-1241.657078372,-1249.363516401,-1144.712585453,0.313
8.15202,4.38313,3.43318,1.8159,46.02,-0.2573,0.0984,432.2224,0.113178,-232.334436,-232.32857,-232.327626,-232.363064,20.451,-1180.084012765,-1187.956740679,-1195.070182703,-1098.672877632,0.3557
7.51163,5.3853,3.80314,2.4925,38.43,-0.2369,0.0642,370.2795,0.090396,-268.251114,-268.245852,-268.244908,-268.278934,19.173,-991.465475018,-997.939485371,-1003.866935385,-922.662250713,0.3011
7.20812,7.20681,6.22176,0.0002,49.82,-0.2974,0.1082,328.2069,0.116844,-195.158734,-195.154774,-195.15383,-195.185188,15.584,-1206.50527921,-1215.574666787,-1222.688108811,-1123.985963183,0.4056
7.76429,7.54763,6.46247,1.8725,42.39,-0.2352,0.0994,298.4772,0.092109,-231.069318,-231.065445,-231.064501,-231.095721,14.648,-1014.062701617,-1021.40894948,-1027.336399494,-944.626320731,0.3346
19.32586,2.84998,2.52198,0.4777,45.22,-0.2633,0.0345,470.3666,0.065276,-192.736096,-192.730524,-192.72958,-192.764175,19.399,-941.981370296,-946.485002389,-951.226460393,-887.223679938,0.2978
20.01906,2.89728,2.57099,3.5925,40.56,-0.2911,0.0111,448.7393,0.05503,-208.842347,-208.837159,-208.836215,-208.87023,17.258,-860.050657711,-863.906073007,-868.054535006,-811.547349556,0.3022
21.0592,2.92609,2.61064,3.6958,36.12,-0.3494,-0.0151,429.0927,0.044642,-224.94466,-224.939832,-224.938888,-224.972334,15.259,-775.648814684,-778.840952967,-782.396418961,-733.391731115,0.3344
24.42532,2.5579,2.40769,2.0711,41.41,-0.2583,-0.0337,483.1343,0.065029,-229.918003,-229.912379,-229.911435,-229.946855,18.303,-919.453797196,-923.924171312,-928.665629316,-864.925147623,0.2245
26.22693,2.56863,2.42417,2.172,36.79,-0.2868,-0.0568,464.3999,0.054694,-246.023231,-246.017964,-246.017019,-246.051902,16.279,-836.881142904,-840.68635748,-844.83419197,-788.616288169,0.23
11.16406,4.28269,3.09529,5.0884,38.8,-0.2491,-0.0216,391.0845,0.068192,-263.280728,-263.275534,-263.27459,-263.308973,16.694,-849.516036619,-854.254984587,-858.996442591,-793.990275245,0.2276
46.2984,2.58674,2.44986,4.2338,35.69,-0.2934,-0.0298,460.7073,0.055229,-283.156647,-283.151564,-283.15062,-283.184645,15.704,-783.925030885,-787.845079608,-791.993541607,-734.981838921,0.2636
11.40917,4.38216,3.16609,5.2904,34.31,-0.2608,-0.0416,372.7845,0.055704,-283.179781,-283.17476,-283.173816,-283.207861,15.692,-798.441824091,-802.400778372,-806.549240371,-749.550087865,0.2191
160.02654,2.04896,2.04896,1.1881,54.54,-0.242,-0.0085,576.5936,0.065688,-192.762455,-192.756657,-192.755713,-192.790147,19.382,-958.521880027,-962.883695086,-967.62515309,-903.521343686,0.2335
159.56146,2.07623,2.07623,5.1545,47.82,-0.2871,-0.0377,553.2094,0.055566,-208.863267,-208.85788,-208.856936,-208.890804,17.054,-873.178145991,-876.908686996,-881.057148995,-824.457719722,0.2494
43.05987,2.11932,2.04564,3.783,45.67,-0.2642,-0.0592,568.7849,0.065532,-229.928448,-229.922366,-229.921422,-229.958956,18.156,-926.008128701,-930.191103695,-934.932561699,-872.518634032,0.2051
25.23558,2.07322,1.96278,1.2486,46.92,-0.2421,0.0368,613.8892,0.089036,-231.111403,-231.104707,-231.103763,-231.142502,20.884,-1040.471417882,-1046.046207838,-1051.973657852,-973.98181926,0.2789
20.50649,2.07478,1.95249,0.078,53.93,-0.2401,0.0631,652.4812,0.112761,-195.196751,-195.18988,-195.188936,-195.228146,22.115,-1230.361288863,-1237.603997741,-1244.717439765,-1150.942494805,0.3033
27.37372,2.3551,2.22921,2.9091,46.78,-0.2481,0.0251,567.546,0.10111,-248.395289,-248.388824,-248.38788,-248.425185,20.343,-1069.665646598,-1076.273316368,-1082.793762387,-995.427566844,0.2732
23.52902,2.22059,2.10822,0.7752,51.47,-0.2586,0.0583,593.0141,0.112736,-195.186228,-195.179881,-195.178937,-195.215412,22.023,-1223.758011656,-1231.32953525,-1238.442977274,-1142.951795199,0.3169
23.89209,2.25168,2.1394,4.0641,46.62,-0.3185,0.0365,569.5065,0.102603,-211.295163,-211.289209,-211.288265,-211.324151,19.863,-1143.511533227,-1150.440487605,-1156.960933624,-1068.959698973,0.355
27.0505,2.37302,2.25333,4.1469,43.52,-0.249,0.0208,535.2152,0.091346,-227.324775,-227.318937,-227.317993,-227.353619,19.026,-1013.489158391,-1019.60172356,-1025.529173574,-945.224336808,0.2698
29.26507,2.42505,2.30445,1.3623,45.04,-0.2565,0.0324,532.4302,0.088734,-231.092208,-231.086089,-231.085144,-231.121215,20.194,-1028.426382627,-1034.363245276,-1040.290067781,-960.624035177,0.2889
29.69812,2.46416,2.34273,4.5445,40.22,-0.2859,0.008,509.5881,0.078474,-247.198,-247.192237,-247.191293,-247.226866,18.14,-946.207643411,-951.478719011,-956.81317302,-884.694191159,0.2939
26.63096,2.28907,2.16465,1.3892,44.05,-0.2624,0.0549,542.7424,0.089329,-231.10631,-231.100171,-231.099227,-231.135302,20.716,-1037.275514545,-1043.199827014,-1049.127277028,-969.46375446,0.3174
27.12022,2.32375,2.19911,3.7158,39.41,-0.2914,0.0323,519.4529,0.079045,-247.21445,-247.20867,-247.207726,-247.243281,18.636,-956.530166461,-961.790574408,-967.125028417,-894.994751394,0.3237
20.60318,2.12564,2.08237,2.7552,47.03,-0.2487,-0.0195,599.5103,0.112697,-232.36363,-232.357283,-232.356339,-232.39356,20.766,-1198.403510511,-1205.974406596,-1213.08784862,-1117.809392096,0.2292
12.29542,2.95298,2.69965,3.694,43.88,-0.2499,0.0335,490.704,0.102695,-248.436061,-248.429994,-248.429049,-248.466001,19.864,-1095.250443546,-1102.107861898,-1108.627680408,-1021.039974188,0.2834
